2026-09-01 05:25:24.592 | DEBUG    | ttnn:<module>:78 - Initial ttnn.CONFIG:
Config{cache_path=/home/ttuser/.cache/ttnn,model_cache_path=/home/ttuser/.cache/ttnn/models,tmp_dir=/tmp/ttnn,enable_model_cache=false,enable_fast_runtime_mode=true,validate_program_args=false,throw_exception_on_fallback=false,enable_logging=false,enable_graph_report=false,enable_graph_python_stack_traces=false,enable_detailed_buffer_report=false,enable_detailed_tensor_report=false,enable_comparison_mode=false,comparison_mode_should_raise_exception=false,comparison_mode_pcc=0.9999,root_report_path=generated/ttnn/reports,report_name=std::nullopt,std::nullopt}
  model size: 1024 (tt-tnt-1024.yaml)
  model impl: python (ttml's Python Llama via train.model; SDPA causal, mask dropped)
  seq_len: 512 (explicit; equals the size's max_sequence_length)
  checkpoints: artifacts/checkpoints-winpurity-v4-s5489
  ddp: 4 chips, mesh [1, 4], 16 sequences/chip (effective batch stays 64; step budget and LR unchanged)
  optimizer overridden from train/configs/nanollama3_bpe_v2.yaml: {'type': 'AdamW', 'lr': 0.0003, 'beta1': 0.9, 'beta2': 0.999, 'epsilon': 1e-08, 'weight_decay': 0.01, 'amsgrad': False, 'stochastic_rounding': True}
  stochastic_rounding: True
  lr schedule: constant at 3.000e-04 (set_lr never called)
  seed: 5489
tt-tnt training — steps=10719 batch=64 seq_len=512 arch=blackhole
  mesh graph descriptor: /home/ttuser/code/tt-tnt/train/configs/mesh/mesh-1x4.textproto
  train tokens=352,641,058  val tokens=39,182,335
  parallelism context: DDP over 4 devices on mesh axis 1 (gradients will be all-reduced and divided by 4)
note: the progress bar's val_loss is ttml's placeholder (a copy of train_loss); the real validation loss is computed after training and printed below.
  run manifest: artifacts/checkpoints-winpurity-v4-s5489/run_manifest.json

  0%|          | 0/500 [00:00<?, ?it/s]
  0%|          | 1/500 [00:00<01:57,  4.26it/s, train_loss=10.6250, val_loss=10.6250]
  0%|          | 2/500 [00:00<01:38,  5.06it/s, train_loss=9.7188, val_loss=10.6250] 
  1%|          | 3/500 [00:00<01:34,  5.28it/s, train_loss=8.9688, val_loss=10.6250]
  1%|          | 4/500 [00:00<01:31,  5.39it/s, train_loss=8.6875, val_loss=10.6250]
  1%|          | 5/500 [00:00<01:30,  5.46it/s, train_loss=8.3750, val_loss=10.6250]
  1%|          | 6/500 [00:01<01:29,  5.51it/s, train_loss=8.2656, val_loss=10.6250]
  1%|▏         | 7/500 [00:01<01:29,  5.50it/s, train_loss=8.1250, val_loss=10.6250]
  2%|▏         | 8/500 [00:01<01:28,  5.53it/s, train_loss=7.8828, val_loss=10.6250]
  2%|▏         | 9/500 [00:01<01:28,  5.55it/s, train_loss=7.8594, val_loss=10.6250]
  2%|▏         | 10/500 [00:01<01:28,  5.55it/s, train_loss=7.5469, val_loss=7.5469]
  2%|▏         | 11/500 [00:02<01:28,  5.55it/s, train_loss=7.5469, val_loss=7.5469]
  2%|▏         | 12/500 [00:02<01:27,  5.56it/s, train_loss=7.3750, val_loss=7.5469]
  3%|▎         | 13/500 [00:02<01:27,  5.57it/s, train_loss=7.2812, val_loss=7.5469]
  3%|▎         | 14/500 [00:02<01:27,  5.56it/s, train_loss=7.2891, val_loss=7.5469]
  3%|▎         | 15/500 [00:02<01:27,  5.56it/s, train_loss=7.2578, val_loss=7.5469]
  3%|▎         | 16/500 [00:02<01:26,  5.57it/s, train_loss=7.1406, val_loss=7.5469]
  3%|▎         | 17/500 [00:03<01:26,  5.57it/s, train_loss=7.3750, val_loss=7.5469]
 11%|█         | 53/500 [00:09<01:21,  5.50it/s, train_loss=6.9062, val_loss=6.8281]
 11%|█         | 54/500 [00:09<01:20,  5.52it/s, train_loss=7.0859, val_loss=6.8281]
 11%|█         | 55/500 [00:09<01:20,  5.53it/s, train_loss=7.0312, val_loss=6.8281]
 11%|█         | 56/500 [00:10<01:20,  5.54it/s, train_loss=6.8828, val_loss=6.8281]
 11%|█▏        | 57/500 [00:10<01:19,  5.54it/s, train_loss=6.9141, val_loss=6.8281]
 12%|█▏        | 58/500 [00:10<01:19,  5.54it/s, train_loss=6.8594, val_loss=6.8281]
 12%|█▏        | 59/500 [00:10<01:19,  5.54it/s, train_loss=6.8984, val_loss=6.8281]
 12%|█▏        | 60/500 [00:10<01:19,  5.55it/s, train_loss=6.7031, val_loss=6.7031]
 12%|█▏        | 61/500 [00:11<01:19,  5.54it/s, train_loss=6.8047, val_loss=6.7031]
 12%|█▏        | 62/500 [00:11<01:19,  5.53it/s, train_loss=6.9375, val_loss=6.7031]
 13%|█▎        | 63/500 [00:11<01:19,  5.53it/s, train_loss=6.7500, val_loss=6.7031]
 13%|█▎        | 64/500 [00:11<01:18,  5.53it/s, train_loss=6.6406, val_loss=6.7031]
 13%|█▎        | 65/500 [00:11<01:18,  5.52it/s, train_loss=6.7969, val_loss=6.7031]
 13%|█▎        | 66/500 [00:11<01:19,  5.47it/s, train_loss=6.9922, val_loss=6.7031]
 13%|█▎        | 67/500 [00:12<01:19,  5.48it/s, train_loss=6.6641, val_loss=6.7031]
 14%|█▎        | 68/500 [00:12<01:18,  5.51it/s, train_loss=6.8906, val_loss=6.7031]
 14%|█▍        | 69/500 [00:12<01:18,  5.51it/s, train_loss=6.6250, val_loss=6.7031]
 14%|█▍        | 70/500 [00:12<01:17,  5.52it/s, train_loss=6.6797, val_loss=6.6797]
 14%|█▍        | 71/500 [00:12<01:17,  5.53it/s, train_loss=6.4453, val_loss=6.6797]
 14%|█▍        | 72/500 [00:13<01:17,  5.51it/s, train_loss=6.5000, val_loss=6.6797]
 15%|█▍        | 73/500 [00:13<01:17,  5.52it/s, train_loss=6.7656, val_loss=6.6797]
 15%|█▍        | 74/500 [00:13<01:17,  5.49it/s, train_loss=6.6641, val_loss=6.6797]
 15%|█▌        | 75/500 [00:13<01:17,  5.51it/s, train_loss=6.4062, val_loss=6.6797]
 15%|█▌        | 76/500 [00:13<01:16,  5.52it/s, train_loss=6.6250, val_loss=6.6797]
 15%|█▌        | 77/500 [00:13<01:16,  5.53it/s, train_loss=6.3984, val_loss=6.6797]
 16%|█▌        | 78/500 [00:14<01:16,  5.51it/s, train_loss=6.3828, val_loss=6.6797]
 16%|█▌        | 79/500 [00:14<01:16,  5.52it/s, train_loss=6.4453, val_loss=6.6797]
 16%|█▌        | 80/500 [00:14<01:16,  5.53it/s, train_loss=6.4297, val_loss=6.4297]
 16%|█▌        | 81/500 [00:14<01:15,  5.52it/s, train_loss=6.3203, val_loss=6.4297]
 16%|█▋        | 82/500 [00:14<01:15,  5.50it/s, train_loss=6.5078, val_loss=6.4297]
 17%|█▋        | 83/500 [00:15<01:15,  5.50it/s, train_loss=6.4375, val_loss=6.4297]
 17%|█▋        | 84/500 [00:15<01:15,  5.52it/s, train_loss=6.2188, val_loss=6.4297]
 17%|█▋        | 85/500 [00:15<01:15,  5.52it/s, train_loss=6.4141, val_loss=6.4297]
 17%|█▋        | 86/500 [00:15<01:15,  5.50it/s, train_loss=6.5312, val_loss=6.4297]
 17%|█▋        | 87/500 [00:15<01:15,  5.51it/s, train_loss=6.4531, val_loss=6.4297]
 18%|█▊        | 88/500 [00:15<01:14,  5.51it/s, train_loss=6.3203, val_loss=6.4297]
 18%|█▊        | 89/500 [00:16<01:14,  5.50it/s, train_loss=6.2656, val_loss=6.4297]
 18%|█▊        | 90/500 [00:16<01:14,  5.49it/s, train_loss=6.4062, val_loss=6.4062]
 18%|█▊        | 91/500 [00:16<01:14,  5.48it/s, train_loss=6.1328, val_loss=6.4062]
 18%|█▊        | 92/500 [00:16<01:14,  5.49it/s, train_loss=6.5000, val_loss=6.4062]
 19%|█▊        | 93/500 [00:16<01:13,  5.50it/s, train_loss=6.2344, val_loss=6.4062]
 19%|█▉        | 94/500 [00:17<01:13,  5.51it/s, train_loss=6.0625, val_loss=6.4062]
 19%|█▉        | 95/500 [00:17<01:13,  5.51it/s, train_loss=6.2656, val_loss=6.4062]
 19%|█▉        | 96/500 [00:17<01:13,  5.51it/s, train_loss=6.1328, val_loss=6.4062]
 19%|█▉        | 97/500 [00:17<01:13,  5.48it/s, train_loss=6.2969, val_loss=6.4062]
 20%|█▉        | 98/500 [00:17<01:13,  5.49it/s, train_loss=5.9688, val_loss=6.4062]
 20%|█▉        | 99/500 [00:17<01:12,  5.50it/s, train_loss=5.9688, val_loss=6.4062]
 20%|██        | 100/500 [00:18<01:12,  5.49it/s, train_loss=6.0703, val_loss=6.0703]
 20%|██        | 101/500 [00:18<01:12,  5.48it/s, train_loss=6.0703, val_loss=6.0703]
 20%|██        | 102/500 [00:18<01:12,  5.50it/s, train_loss=6.0000, val_loss=6.0703]
 21%|██        | 103/500 [00:18<01:12,  5.49it/s, train_loss=6.1562, val_loss=6.0703]
 21%|██        | 104/500 [00:18<01:11,  5.50it/s, train_loss=6.1484, val_loss=6.0703]
 21%|██        | 105/500 [00:19<01:11,  5.50it/s, train_loss=6.0781, val_loss=6.0703]
 21%|██        | 106/500 [00:19<01:11,  5.50it/s, train_loss=6.1016, val_loss=6.0703]
 21%|██▏       | 107/500 [00:19<01:11,  5.50it/s, train_loss=6.0938, val_loss=6.0703]
 22%|██▏       | 108/500 [00:19<01:11,  5.49it/s, train_loss=6.0859, val_loss=6.0703]
 22%|██▏       | 109/500 [00:19<01:11,  5.50it/s, train_loss=5.8359, val_loss=6.0703]
 22%|██▏       | 110/500 [00:19<01:10,  5.50it/s, train_loss=5.8594, val_loss=5.8594]
 22%|██▏       | 111/500 [00:20<01:10,  5.51it/s, train_loss=6.0781, val_loss=5.8594]
 22%|██▏       | 112/500 [00:20<01:10,  5.49it/s, train_loss=6.0156, val_loss=5.8594]
 23%|██▎       | 113/500 [00:20<01:10,  5.49it/s, train_loss=5.7891, val_loss=5.8594]
 23%|██▎       | 114/500 [00:20<01:10,  5.49it/s, train_loss=5.9297, val_loss=5.8594]
 23%|██▎       | 115/500 [00:20<01:10,  5.50it/s, train_loss=6.0312, val_loss=5.8594]
 23%|██▎       | 116/500 [00:21<01:09,  5.50it/s, train_loss=5.8984, val_loss=5.8594]
 23%|██▎       | 117/500 [00:21<01:09,  5.50it/s, train_loss=6.0000, val_loss=5.8594]
 24%|██▎       | 118/500 [00:21<01:09,  5.49it/s, train_loss=6.1953, val_loss=5.8594]
 24%|██▍       | 119/500 [00:21<01:09,  5.50it/s, train_loss=5.8750, val_loss=5.8594]
 24%|██▍       | 120/500 [00:21<01:08,  5.51it/s, train_loss=5.8516, val_loss=5.8516]
 24%|██▍       | 121/500 [00:21<01:08,  5.50it/s, train_loss=6.0625, val_loss=5.8516]
 24%|██▍       | 122/500 [00:22<01:09,  5.47it/s, train_loss=5.7188, val_loss=5.8516]
 25%|██▍       | 123/500 [00:22<01:08,  5.49it/s, train_loss=5.8750, val_loss=5.8516]
 25%|██▍       | 124/500 [00:22<01:08,  5.48it/s, train_loss=5.8203, val_loss=5.8516]
 25%|██▌       | 125/500 [00:22<01:08,  5.48it/s, train_loss=5.9297, val_loss=5.8516]
 25%|██▌       | 126/500 [00:22<01:08,  5.49it/s, train_loss=5.9062, val_loss=5.8516]
 25%|██▌       | 127/500 [00:23<01:08,  5.48it/s, train_loss=5.8984, val_loss=5.8516]
 26%|██▌       | 128/500 [00:23<01:07,  5.48it/s, train_loss=5.7891, val_loss=5.8516]
 26%|██▌       | 129/500 [00:23<01:07,  5.49it/s, train_loss=5.4844, val_loss=5.8516]
 26%|██▌       | 130/500 [00:23<01:07,  5.47it/s, train_loss=5.6172, val_loss=5.6172]
 26%|██▌       | 131/500 [00:23<01:07,  5.47it/s, train_loss=5.9062, val_loss=5.6172]
 26%|██▋       | 132/500 [00:23<01:07,  5.48it/s, train_loss=6.0391, val_loss=5.6172]
 27%|██▋       | 133/500 [00:24<01:07,  5.43it/s, train_loss=5.9375, val_loss=5.6172]
 27%|██▋       | 134/500 [00:24<01:07,  5.46it/s, train_loss=5.7812, val_loss=5.6172]
 27%|██▋       | 135/500 [00:24<01:06,  5.48it/s, train_loss=5.8906, val_loss=5.6172]
 27%|██▋       | 136/500 [00:24<01:06,  5.49it/s, train_loss=6.0156, val_loss=5.6172]
 27%|██▋       | 137/500 [00:24<01:05,  5.50it/s, train_loss=5.6562, val_loss=5.6172]
 28%|██▊       | 138/500 [00:25<01:06,  5.47it/s, train_loss=5.6875, val_loss=5.6172]
 28%|██▊       | 139/500 [00:25<01:05,  5.48it/s, train_loss=5.8125, val_loss=5.6172]
 28%|██▊       | 140/500 [00:25<01:05,  5.48it/s, train_loss=5.4688, val_loss=5.4688]
 28%|██▊       | 141/500 [00:25<01:05,  5.49it/s, train_loss=5.6562, val_loss=5.4688]
 28%|██▊       | 142/500 [00:25<01:05,  5.49it/s, train_loss=5.8125, val_loss=5.4688]
 29%|██▊       | 143/500 [00:25<01:04,  5.49it/s, train_loss=5.7734, val_loss=5.4688]
 29%|██▉       | 144/500 [00:26<01:04,  5.50it/s, train_loss=5.6172, val_loss=5.4688]
 29%|██▉       | 145/500 [00:26<01:04,  5.50it/s, train_loss=5.8203, val_loss=5.4688]
 29%|██▉       | 146/500 [00:26<01:04,  5.49it/s, train_loss=5.6328, val_loss=5.4688]
 29%|██▉       | 147/500 [00:26<01:04,  5.47it/s, train_loss=5.5469, val_loss=5.4688]
 30%|██▉       | 148/500 [00:26<01:04,  5.46it/s, train_loss=5.6406, val_loss=5.4688]
 30%|██▉       | 149/500 [00:27<01:04,  5.47it/s, train_loss=5.6953, val_loss=5.4688]
 30%|███       | 150/500 [00:27<01:04,  5.44it/s, train_loss=5.6719, val_loss=5.6719]
 30%|███       | 151/500 [00:27<01:03,  5.47it/s, train_loss=5.6016, val_loss=5.6719]
 30%|███       | 152/500 [00:27<01:03,  5.44it/s, train_loss=5.4375, val_loss=5.6719]
 31%|███       | 153/500 [00:27<01:03,  5.48it/s, train_loss=5.6172, val_loss=5.6719]
 31%|███       | 154/500 [00:27<01:03,  5.48it/s, train_loss=5.6484, val_loss=5.6719]
 31%|███       | 155/500 [00:28<01:03,  5.47it/s, train_loss=5.4609, val_loss=5.6719]
 31%|███       | 156/500 [00:28<01:03,  5.45it/s, train_loss=5.4531, val_loss=5.6719]
 31%|███▏      | 157/500 [00:28<01:02,  5.45it/s, train_loss=5.3750, val_loss=5.6719]
 32%|███▏      | 158/500 [00:28<01:02,  5.47it/s, train_loss=5.5156, val_loss=5.6719]
 32%|███▏      | 159/500 [00:28<01:02,  5.47it/s, train_loss=5.4219, val_loss=5.6719]
 32%|███▏      | 160/500 [00:29<01:02,  5.48it/s, train_loss=5.7266, val_loss=5.7266]
 32%|███▏      | 161/500 [00:29<01:01,  5.49it/s, train_loss=5.4531, val_loss=5.7266]
 32%|███▏      | 162/500 [00:29<01:01,  5.50it/s, train_loss=5.5547, val_loss=5.7266]
 33%|███▎      | 163/500 [00:29<01:01,  5.49it/s, train_loss=5.1172, val_loss=5.7266]
 33%|███▎      | 164/500 [00:29<01:01,  5.47it/s, train_loss=5.2812, val_loss=5.7266]
 33%|███▎      | 165/500 [00:29<01:01,  5.49it/s, train_loss=5.1016, val_loss=5.7266]
 33%|███▎      | 166/500 [00:30<01:00,  5.51it/s, train_loss=5.1719, val_loss=5.7266]
 33%|███▎      | 167/500 [00:30<01:00,  5.48it/s, train_loss=5.7656, val_loss=5.7266]
 34%|███▎      | 168/500 [00:30<01:00,  5.47it/s, train_loss=5.3672, val_loss=5.7266]
 34%|███▍      | 169/500 [00:30<01:00,  5.48it/s, train_loss=5.5156, val_loss=5.7266]
 34%|███▍      | 170/500 [00:30<01:00,  5.48it/s, train_loss=5.4688, val_loss=5.4688]
 34%|███▍      | 171/500 [00:31<01:00,  5.48it/s, train_loss=5.2969, val_loss=5.4688]
 34%|███▍      | 172/500 [00:31<00:59,  5.48it/s, train_loss=5.2891, val_loss=5.4688]
 35%|███▍      | 173/500 [00:31<00:59,  5.49it/s, train_loss=5.4766, val_loss=5.4688]
 35%|███▍      | 174/500 [00:31<00:59,  5.50it/s, train_loss=5.4844, val_loss=5.4688]
 35%|███▌      | 175/500 [00:31<00:59,  5.50it/s, train_loss=5.5859, val_loss=5.4688]
 35%|███▌      | 176/500 [00:31<00:58,  5.51it/s, train_loss=5.1250, val_loss=5.4688]
 35%|███▌      | 177/500 [00:32<00:58,  5.51it/s, train_loss=5.3906, val_loss=5.4688]
 36%|███▌      | 178/500 [00:32<00:58,  5.48it/s, train_loss=5.8125, val_loss=5.4688]
 36%|███▌      | 179/500 [00:32<00:58,  5.50it/s, train_loss=5.5156, val_loss=5.4688]
 36%|███▌      | 180/500 [00:32<00:58,  5.49it/s, train_loss=5.2266, val_loss=5.2266]
 36%|███▌      | 181/500 [00:32<00:58,  5.49it/s, train_loss=5.6328, val_loss=5.2266]
 36%|███▋      | 182/500 [00:33<00:58,  5.47it/s, train_loss=5.6328, val_loss=5.2266]
 37%|███▋      | 183/500 [00:33<00:58,  5.46it/s, train_loss=5.4609, val_loss=5.2266]
 37%|███▋      | 184/500 [00:33<00:57,  5.46it/s, train_loss=5.1406, val_loss=5.2266]
 37%|███▋      | 185/500 [00:33<00:57,  5.48it/s, train_loss=5.3203, val_loss=5.2266]
 37%|███▋      | 186/500 [00:33<00:57,  5.45it/s, train_loss=5.5703, val_loss=5.2266]
 37%|███▋      | 187/500 [00:33<00:57,  5.45it/s, train_loss=5.3203, val_loss=5.2266]
 38%|███▊      | 188/500 [00:34<00:57,  5.45it/s, train_loss=5.2578, val_loss=5.2266]
 38%|███▊      | 189/500 [00:34<00:56,  5.46it/s, train_loss=5.4844, val_loss=5.2266]
 38%|███▊      | 190/500 [00:34<00:56,  5.49it/s, train_loss=5.3438, val_loss=5.3438]
 38%|███▊      | 191/500 [00:34<00:56,  5.50it/s, train_loss=5.0703, val_loss=5.3438]
 38%|███▊      | 192/500 [00:34<00:56,  5.50it/s, train_loss=5.2344, val_loss=5.3438]
 39%|███▊      | 193/500 [00:35<00:55,  5.49it/s, train_loss=5.3828, val_loss=5.3438]
 39%|███▉      | 194/500 [00:35<00:55,  5.50it/s, train_loss=5.4844, val_loss=5.3438]
 39%|███▉      | 195/500 [00:35<00:55,  5.48it/s, train_loss=5.3750, val_loss=5.3438]
 39%|███▉      | 196/500 [00:35<00:55,  5.46it/s, train_loss=5.4375, val_loss=5.3438]
 39%|███▉      | 197/500 [00:35<00:55,  5.49it/s, train_loss=5.1094, val_loss=5.3438]
 40%|███▉      | 198/500 [00:35<00:54,  5.50it/s, train_loss=5.5469, val_loss=5.3438]
 40%|███▉      | 199/500 [00:36<00:54,  5.50it/s, train_loss=5.1875, val_loss=5.3438]
 40%|████      | 200/500 [00:36<00:54,  5.50it/s, train_loss=5.1875, val_loss=5.1875]
 40%|████      | 201/500 [00:36<00:54,  5.52it/s, train_loss=5.2266, val_loss=5.1875]
 40%|████      | 202/500 [00:36<00:54,  5.51it/s, train_loss=5.0781, val_loss=5.1875]
 41%|████      | 203/500 [00:36<00:53,  5.51it/s, train_loss=5.1406, val_loss=5.1875]
 41%|████      | 204/500 [00:37<00:53,  5.52it/s, train_loss=5.2969, val_loss=5.1875]
 41%|████      | 205/500 [00:37<00:53,  5.53it/s, train_loss=5.1562, val_loss=5.1875]
 41%|████      | 206/500 [00:37<00:53,  5.50it/s, train_loss=5.2891, val_loss=5.1875]
 41%|████▏     | 207/500 [00:37<00:53,  5.51it/s, train_loss=5.1875, val_loss=5.1875]
 42%|████▏     | 208/500 [00:37<00:53,  5.48it/s, train_loss=5.3750, val_loss=5.1875]
 42%|████▏     | 209/500 [00:37<00:52,  5.50it/s, train_loss=5.1406, val_loss=5.1875]
 42%|████▏     | 210/500 [00:38<00:52,  5.52it/s, train_loss=5.2500, val_loss=5.2500]
 42%|████▏     | 211/500 [00:38<00:52,  5.51it/s, train_loss=5.2344, val_loss=5.2500]
 42%|████▏     | 212/500 [00:38<00:52,  5.53it/s, train_loss=5.3516, val_loss=5.2500]
 43%|████▎     | 213/500 [00:38<00:52,  5.50it/s, train_loss=5.5234, val_loss=5.2500]
 43%|████▎     | 214/500 [00:38<00:51,  5.51it/s, train_loss=5.1875, val_loss=5.2500]
 43%|████▎     | 215/500 [00:39<00:51,  5.50it/s, train_loss=5.0078, val_loss=5.2500]
 43%|████▎     | 216/500 [00:39<00:51,  5.50it/s, train_loss=4.8750, val_loss=5.2500]
 43%|████▎     | 217/500 [00:39<00:51,  5.51it/s, train_loss=5.1484, val_loss=5.2500]
 44%|████▎     | 218/500 [00:39<00:51,  5.51it/s, train_loss=5.0938, val_loss=5.2500]
 44%|████▍     | 219/500 [00:39<00:51,  5.43it/s, train_loss=5.2500, val_loss=5.2500]
 44%|████▍     | 220/500 [00:39<00:51,  5.44it/s, train_loss=5.0078, val_loss=5.0078]
 44%|████▍     | 221/500 [00:40<00:51,  5.42it/s, train_loss=5.3750, val_loss=5.0078]
